                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7454,                 1.3341,                 1.4688,                0.45237,                0.23684,                0.24608,                0.07834,                 2.5363,                 2.1692,                 1.9556,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7499,                 1.3205,                  1.435,                0.39335,                0.33333,                0.31386,                0.10542,                 2.3919,                 2.1862,                 1.8668,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7342,                 1.3153,                 1.4605,                0.40868,                0.22435,                0.22052,                0.07878,                 2.7243,                 2.3058,                 2.0483,               0.001307,               0.001307,               0.001307
                     37,                  1.779,                 1.3076,                  1.407,                0.34994,                0.35088,                0.27116,                0.10141,                 2.3393,                 2.2064,                 1.7639,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7284,                 1.2679,                 1.4612,                0.38713,                0.19298,                0.18622,                0.06173,                 2.6379,                 2.5718,                 1.9933,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7252,                 1.3447,                 1.4089,                0.39032,                0.30702,                 0.2549,                0.09466,                 2.4001,                 2.2665,                 1.8395,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5958,                 1.3112,                 1.3845,                0.38635,                0.33333,                0.25618,                0.08584,                 2.4337,                 2.0761,                 1.9033,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7346,                 1.5495,                 1.5033,                0.31975,                0.27193,                0.20591,                0.06857,                 2.6688,                 2.1671,                 2.1236,               0.001208,               0.001208,               0.001208
                     42,                 1.5713,                 1.2476,                 1.3795,                0.39931,                0.26827,                0.23578,                0.08579,                 2.5063,                 2.3653,                 1.8911,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6938,                 1.2202,                 1.3848,                0.29824,                 0.2807,                0.20958,                 0.0863,                 2.4626,                 2.6876,                  1.876,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5102,                 1.1462,                 1.3048,                0.52437,                0.25148,                0.25283,                0.08695,                 2.5545,                 2.4371,                 2.0121,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6847,                 1.2242,                 1.4179,                0.48552,                0.21528,                0.22404,                0.07564,                 2.6717,                 2.4949,                 2.0963,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6934,                 1.2552,                 1.4269,                0.36504,                0.43371,                0.34635,                0.10592,                 2.4854,                  2.228,                 1.9424,               0.001109,               0.001109,               0.001109
                     47,                 1.5426,                 1.2048,                 1.3559,                0.47274,                0.30702,                0.27895,                0.08381,                 2.4426,                 2.1248,                 1.8946,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5688,                 1.1816,                 1.3563,                0.39548,                0.33333,                0.27136,                0.09697,                 2.3718,                 2.1585,                 1.8217,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5962,                 1.1469,                 1.3152,                0.45832,                0.28947,                  0.306,                0.09716,                 2.4547,                 2.2568,                 1.9059,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5238,                  1.089,                 1.3125,                0.36685,                0.44737,                0.32203,                0.10662,                  2.365,                 2.0709,                 1.8359,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5793,                 1.1052,                 1.3311,                0.34704,                0.27509,                0.18408,                0.06477,                 2.5557,                 2.3928,                 1.9638,                0.00101,                0.00101,                0.00101
                     52,                 1.5542,                 1.0976,                  1.314,                0.30686,                0.29825,                0.19389,                0.06917,                 2.5467,                 2.3954,                 1.9925,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5439,                 1.0612,                  1.326,                0.39513,                0.31579,                0.27429,                 0.1041,                 2.3544,                 2.1912,                 1.8383,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5336,                 1.1358,                 1.3494,                0.43849,                0.35965,                0.33464,                0.10557,                 2.4689,                 2.1827,                 1.9026,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6597,                 1.2577,                 1.4593,                0.46373,                0.37719,                0.37383,                0.13946,                 2.3081,                 2.0414,                 1.8389,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4819,                 1.0573,                 1.3353,                0.62075,                0.22807,                0.30651,                0.09759,                 2.5132,                 2.1227,                 1.9985,               0.000911,               0.000911,               0.000911
                     57,                 1.5216,                 1.0669,                  1.307,                0.44933,                0.35965,                0.32197,                0.11027,                 2.5018,                 2.0835,                  1.982,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6697,                 1.3086,                 1.4662,                0.45545,                0.26316,                0.27705,                0.09824,                 2.6153,                 2.2455,                 2.0549,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6229,                 1.0576,                 1.3378,                0.53907,                0.24561,                0.27621,                 0.1027,                 2.5406,                 2.1288,                 1.9652,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5349,                 1.0158,                 1.3169,                0.54666,                0.28947,                0.31748,                0.09554,                 2.6044,                 2.1438,                 1.9462,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.559,                  1.227,                 1.3659,                0.33331,                0.45614,                0.33139,                0.11988,                 2.4939,                 2.0686,                  1.831,               0.000812,               0.000812,               0.000812
                     62,                 1.3708,                0.98646,                 1.2774,                0.41376,                0.40351,                0.34529,                0.11957,                 2.4568,                  2.068,                 1.8211,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3173,                 1.3533,                 1.1531,                0.43101,                0.44521,                0.36119,                0.11222,                 2.4735,                 2.0677,                 1.8359,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4972,                 1.0873,                 1.2893,                0.50314,                0.38596,                0.34945,                0.10755,                 2.5782,                 2.0656,                 1.9215,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5085,                0.98493,                 1.3491,                0.35182,                    0.5,                0.36797,                0.11307,                 2.5785,                 1.9992,                  1.968,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.431,                0.95247,                 1.2712,                0.44009,                0.36842,                 0.3255,                0.10657,                 2.5258,                 2.0764,                 1.9256,               0.000713,               0.000713,               0.000713
                     67,                  1.444,                0.93694,                  1.264,                0.40892,                0.34211,                0.28712,                0.10475,                 2.4896,                 2.0798,                 1.9213,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4223,                 0.9401,                 1.2697,                0.56194,                0.28947,                0.31307,                0.10006,                 2.5253,                 2.1411,                 1.9728,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4271,                0.93149,                 1.2597,                0.53497,                0.33333,                0.30437,                  0.098,                  2.652,                 2.2565,                 2.0846,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3329,                0.93932,                 1.2616,                0.51777,                0.28947,                0.27756,                0.10127,                 2.5988,                 2.3831,                 2.0198,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4309,                0.90928,                 1.2281,                0.44213,                0.30702,                0.29234,                0.09955,                 2.5688,                 2.2715,                 1.9665,               0.000614,               0.000614,               0.000614
                     72,                 1.4544,                0.91676,                 1.3064,                0.42403,                0.37719,                0.33656,                0.12999,                  2.447,                 1.9479,                 1.9404,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3612,                  1.015,                 1.2607,                0.48816,                0.35965,                0.35177,                0.13017,                 2.4035,                 1.9879,                 1.9136,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4353,                 1.0069,                 1.3168,                0.53488,                0.31579,                 0.3286,                 0.1156,                 2.4005,                 2.0506,                 1.8923,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3421,                0.91367,                 1.2354,                0.56238,                0.31579,                0.33884,                 0.1123,                 2.4129,                 2.0623,                 1.8447,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3962,                0.89027,                  1.258,                0.59126,                0.26316,                 0.3067,                0.10177,                 2.4841,                 2.1181,                 1.8866,               0.000515,               0.000515,               0.000515
                     77,                 1.4017,                0.93177,                 1.2548,                0.52115,                0.30552,                0.29868,                0.09982,                 2.5293,                 2.0609,                  1.949,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2938,                0.84647,                 1.1976,                0.53695,                0.35088,                0.36638,                0.13948,                 2.3544,                 1.9754,                 1.8184,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4318,                 0.9719,                 1.2647,                0.57365,                0.33333,                0.36316,                0.12492,                 2.4896,                 2.0442,                 1.9125,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3537,                0.87592,                 1.2209,                0.63098,                0.32456,                0.37208,                0.13128,                 2.4466,                 2.0708,                 1.8621,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3947,                0.90619,                 1.2765,                0.52316,                0.36842,                0.38171,                0.14164,                 2.4093,                  1.988,                 1.8804,               0.000416,               0.000416,               0.000416
                     82,                 1.4079,                0.93415,                 1.2617,                0.52863,                0.40333,                 0.3838,                 0.1349,                 2.4443,                 1.9558,                 1.9139,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3118,                0.89471,                 1.2188,                0.50795,                0.36842,                0.37878,                0.11418,                 2.5605,                 2.0023,                 2.0274,              0.0003764,              0.0003764,              0.0003764
