                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.3162,                0.80707,                 1.1804,                0.52186,                0.34211,                0.29765,                0.09479,                 2.6008,                 2.3151,                 2.0354,              0.0014456,              0.0014456,              0.0014456
                    142,                 1.3385,                0.81845,                 1.2257,                0.41548,                0.39474,                0.29708,                0.09489,                 2.4746,                 2.0896,                 1.9162,              0.0014416,              0.0014416,              0.0014416
                    143,                 1.3516,                0.90727,                 1.1965,                 0.4579,                0.36842,                0.30784,                0.09441,                 2.5205,                 2.2064,                 1.9574,              0.0014377,              0.0014377,              0.0014377
                    144,                 1.3477,                0.82724,                 1.1851,                0.37105,                0.33333,                0.28399,                0.09829,                 2.4785,                 2.4135,                 1.9593,              0.0014337,              0.0014337,              0.0014337
                    145,                 1.3804,                0.92318,                 1.2186,                0.34266,                0.33381,                0.27275,                0.09021,                 2.5123,                 2.4379,                 2.0126,              0.0014298,              0.0014298,              0.0014298
                    146,                 1.2636,                0.83805,                 1.1957,                0.44069,                0.21053,                0.22753,                 0.0775,                 2.6041,                 2.5384,                 2.0463,              0.0014258,              0.0014258,              0.0014258
                    147,                 1.2417,                 0.8829,                 1.1726,                0.30931,                0.33333,                0.23742,                0.08085,                 2.6295,                 2.3682,                 2.0645,              0.0014218,              0.0014218,              0.0014218
                    148,                 1.3309,                0.88812,                 1.2385,                0.54121,                0.29825,                0.29845,                0.09483,                 2.5477,                 2.1735,                 2.0681,              0.0014179,              0.0014179,              0.0014179
                    149,                 1.2934,                0.79489,                 1.1798,                0.42262,                0.24561,                0.21647,                0.06881,                 2.7012,                 2.2532,                 2.1756,              0.0014139,              0.0014139,              0.0014139
                    150,                 1.2614,                0.79721,                 1.1824,                  0.377,                0.28947,                0.24847,                0.07951,                 2.7091,                 2.3304,                  2.177,                0.00141,                0.00141,                0.00141
                    151,                 1.2261,                0.76775,                 1.1118,                0.27012,                0.26316,                0.17064,                0.05608,                 2.7925,                 2.6216,                 2.1726,               0.001406,               0.001406,               0.001406
                    152,                 1.2985,                0.79637,                 1.1643,                0.45187,                0.21053,                0.21192,                0.07177,                 2.8179,                 2.4133,                 2.2058,               0.001402,               0.001402,               0.001402
                    153,                 1.2948,                0.81152,                 1.1732,                0.38647,                0.31579,                0.26272,                0.09551,                 2.6379,                 2.2972,                 2.0267,              0.0013981,              0.0013981,              0.0013981
                    154,                 1.2903,                0.79291,                 1.1625,                0.36172,                0.35965,                0.24555,                0.08482,                 2.6524,                 2.3268,                 2.0864,              0.0013941,              0.0013941,              0.0013941
                    155,                 1.4123,                 1.1441,                 1.4298,                0.42975,                0.37719,                0.30012,                0.11208,                 2.4617,                 2.1716,                 1.9406,              0.0013902,              0.0013902,              0.0013902
                    156,                 1.2447,                 1.0049,                 1.2043,                0.44463,                0.32456,                0.30174,                0.09997,                 2.5379,                 2.3105,                 2.0254,              0.0013862,              0.0013862,              0.0013862
                    157,                 1.3175,                0.77587,                 1.1745,                 0.5225,                 0.2807,                0.28162,                0.09311,                 2.5396,                 2.3768,                 1.9649,              0.0013822,              0.0013822,              0.0013822
                    158,                 1.3497,                0.84816,                 1.1869,                0.37486,                0.34211,                0.27691,                0.09854,                 2.3657,                  2.263,                 1.8057,              0.0013783,              0.0013783,              0.0013783
                    159,                 1.3625,                0.77903,                 1.2171,                0.30712,                0.29552,                0.21307,                0.07116,                 2.5343,                 2.4766,                 1.9188,              0.0013743,              0.0013743,              0.0013743
                    160,                 1.2835,                0.76446,                 1.2052,                0.36883,                 0.2307,                0.20664,                0.06993,                 2.6287,                 2.6666,                 2.0595,              0.0013704,              0.0013704,              0.0013704
                    161,                 1.2863,                0.80425,                 1.1662,                0.57613,                0.23684,                0.23016,                0.08186,                 2.6872,                 2.7393,                 2.1352,              0.0013664,              0.0013664,              0.0013664
                    162,                 1.2197,                0.75258,                 1.1359,                0.55607,                0.25439,                 0.2461,                0.09811,                 2.5794,                 2.6435,                 2.0221,              0.0013624,              0.0013624,              0.0013624
                    163,                 1.2067,                0.76711,                 1.1341,                0.42127,                0.29825,                0.21451,                0.09268,                 2.4895,                 2.7695,                 1.8908,              0.0013585,              0.0013585,              0.0013585
                    164,                 1.3444,                 1.1438,                 1.2077,                0.37224,                0.22807,                0.17139,                0.06957,                 2.6201,                 2.9332,                 2.0124,              0.0013545,              0.0013545,              0.0013545
                    165,                  1.328,                0.78559,                 1.1664,                0.33298,                0.24561,                0.18628,                0.06581,                 2.5725,                 2.8678,                  1.999,              0.0013506,              0.0013506,              0.0013506
                    166,                 1.1789,                0.73103,                 1.1295,                0.35472,                0.29825,                0.20186,                0.07012,                 2.4865,                  2.449,                 1.9114,              0.0013466,              0.0013466,              0.0013466
                    167,                 1.3219,                  0.776,                 1.1904,                0.33324,                0.37719,                 0.2352,                0.09316,                 2.3897,                 2.1933,                 1.8394,              0.0013426,              0.0013426,              0.0013426
                    168,                 1.1416,                0.85716,                 1.0717,                0.39794,                0.37719,                0.26709,                0.09603,                 2.3999,                 2.1154,                 1.8789,              0.0013387,              0.0013387,              0.0013387
                    169,                  1.244,                0.74488,                 1.1536,                 0.3565,                0.47368,                0.27655,                0.08496,                  2.541,                 2.1743,                 1.9777,              0.0013347,              0.0013347,              0.0013347
                    170,                 1.2993,                0.77123,                 1.1676,                0.27478,                0.44737,                0.26685,                0.08895,                 2.5134,                 2.2787,                   1.93,              0.0013308,              0.0013308,              0.0013308
                    171,                 1.1714,                0.72635,                 1.1073,                0.36654,                0.37054,                0.26389,                0.09585,                 2.4678,                 2.2381,                 1.9364,              0.0013268,              0.0013268,              0.0013268
                    172,                 1.2892,                 1.0176,                 1.3055,                 0.3493,                0.36842,                0.26964,                0.08527,                 2.5528,                  2.329,                 1.9848,              0.0013228,              0.0013228,              0.0013228
                    173,                 1.2536,                0.74797,                 1.1483,                0.40794,                0.31579,                0.27604,                0.09802,                 2.5131,                  2.193,                 1.9038,              0.0013189,              0.0013189,              0.0013189
                    174,                 1.2129,                 0.7703,                 1.1221,                0.40395,                0.32699,                0.28916,                0.09386,                  2.517,                 2.1767,                 1.9399,              0.0013149,              0.0013149,              0.0013149
                    175,                 1.2017,                0.84121,                 1.1479,                0.40499,                 0.2807,                 0.2439,                0.08925,                 2.6219,                 2.4845,                 2.0798,               0.001311,               0.001311,               0.001311
                    176,                 1.2155,                0.72075,                 1.1363,                0.48596,                0.27193,                0.26692,                 0.0984,                 2.5373,                 2.3072,                 2.0037,               0.001307,               0.001307,               0.001307
                    177,                 1.3074,                0.80629,                 1.2347,                 0.3995,                0.28598,                0.27466,                0.09732,                 2.5894,                 2.3342,                 2.0324,               0.001303,               0.001303,               0.001303
                    178,                 1.2983,                0.91247,                  1.205,                0.29111,                0.38596,                 0.2657,                0.09999,                 2.4707,                 2.4032,                  1.952,              0.0012991,              0.0012991,              0.0012991
                    179,                 1.2908,                0.76661,                 1.1969,                 0.3558,                 0.3004,                0.24494,                0.10399,                 2.5466,                  2.443,                 2.0346,              0.0012951,              0.0012951,              0.0012951
                    180,                 1.2548,                0.79253,                 1.1676,                0.37567,                0.28947,                 0.2524,                0.09641,                  2.703,                 2.5112,                 2.1943,              0.0012912,              0.0012912,              0.0012912
                    181,                 1.1806,                0.71507,                 1.1479,                0.33196,                0.32456,                0.24279,                0.09564,                 2.4953,                 2.3941,                 1.9692,              0.0012872,              0.0012872,              0.0012872
                    182,                 1.1935,                0.81681,                 1.1437,                 0.3102,                0.31579,                0.22118,                0.08042,                 2.6666,                 2.4861,                 2.0763,              0.0012832,              0.0012832,              0.0012832
                    183,                 1.2027,                0.78265,                 1.1707,                0.28393,                0.25439,                0.20417,                0.07621,                 2.7504,                 2.4258,                 2.1435,              0.0012793,              0.0012793,              0.0012793
                    184,                 1.2842,                0.75372,                 1.2312,                0.32674,                  0.298,                0.22301,                0.07651,                 2.7254,                 2.5294,                 2.1147,              0.0012753,              0.0012753,              0.0012753
                    185,                 1.2599,                0.79703,                 1.1616,                0.32625,                0.29825,                0.22203,                  0.081,                 2.6709,                 2.5047,                 2.1194,              0.0012714,              0.0012714,              0.0012714
                    186,                 1.2105,                0.71065,                 1.1241,                 0.3645,                0.34717,                0.27625,                0.10333,                 2.4576,                 2.2304,                   1.93,              0.0012674,              0.0012674,              0.0012674
                    187,                 1.1927,                0.77003,                 1.1369,                0.43311,                0.32456,                  0.285,                0.10269,                  2.439,                 2.2187,                 1.9099,              0.0012634,              0.0012634,              0.0012634
                    188,                 1.2411,                0.81681,                 1.1305,                0.30853,                0.46491,                0.25096,                0.08921,                 2.4614,                 2.2291,                 1.9012,              0.0012595,              0.0012595,              0.0012595
                    189,                 1.3526,                0.86926,                 1.2318,                0.32139,                0.47368,                0.27086,                0.08779,                 2.4385,                 2.2168,                 1.8782,              0.0012555,              0.0012555,              0.0012555
                    190,                 1.2116,                0.75217,                 1.1433,                0.40037,                0.29825,                0.25262,                0.08699,                  2.476,                 2.3426,                 1.9302,              0.0012516,              0.0012516,              0.0012516
                    191,                 1.1351,                0.70808,                 1.0926,                 0.3019,                0.38596,                0.25722,                0.09034,                 2.5527,                 2.3609,                   1.98,              0.0012476,              0.0012476,              0.0012476
                    192,                 1.1479,                0.70246,                 1.0882,                0.35534,                0.40351,                0.29583,                0.10149,                 2.4842,                 2.2842,                 1.9222,              0.0012436,              0.0012436,              0.0012436
                    193,                 1.1749,                0.73431,                 1.1151,                0.29514,                0.35965,                0.22736,                0.07878,                 2.7257,                 2.4144,                  2.118,              0.0012397,              0.0012397,              0.0012397
                    194,                 1.1943,                0.70648,                 1.0925,                0.34111,                0.30702,                0.24075,                0.08609,                 2.6919,                  2.194,                 2.0988,              0.0012357,              0.0012357,              0.0012357
                    195,                 1.2132,                0.74363,                 1.1368,                0.38005,                0.26316,                0.22323,                0.07964,                 2.7334,                  2.355,                 2.2337,              0.0012318,              0.0012318,              0.0012318
                    196,                  1.174,                0.70371,                 1.1228,                0.31249,                0.35088,                0.25684,                0.08033,                 2.6037,                  2.398,                 2.1324,              0.0012278,              0.0012278,              0.0012278
                    197,                 1.1219,                0.73544,                 1.1179,                0.30024,                0.40351,                0.24253,                0.08346,                  2.639,                 2.3751,                 2.1714,              0.0012238,              0.0012238,              0.0012238
                    198,                 1.2346,                 0.7548,                 1.1984,                0.27897,                0.35088,                0.22867,                0.08394,                 2.6401,                 2.5045,                 2.1134,              0.0012199,              0.0012199,              0.0012199
                    199,                 1.1929,                0.69445,                 1.0937,                0.43244,                0.18421,                0.19284,                0.06726,                 2.8003,                 2.5556,                 2.2781,              0.0012159,              0.0012159,              0.0012159
                    200,                 1.2069,                0.74464,                 1.1046,                0.32683,                0.37719,                0.24189,                0.07679,                 2.5462,                  2.429,                 2.0108,               0.001212,               0.001212,               0.001212
                    201,                 1.1724,                0.72341,                 1.1426,                0.46574,                0.28947,                0.24113,                0.08655,                 2.6593,                 2.5166,                 2.1171,               0.001208,               0.001208,               0.001208
                    202,                 1.2585,                0.71354,                 1.1265,                0.35869,                0.38596,                0.27974,                0.09636,                 2.5327,                 2.4998,                 2.0283,               0.001204,               0.001204,               0.001204
                    203,                 1.1462,                0.70661,                 1.1116,                0.53432,                0.23684,                0.25898,                0.10114,                 2.4931,                 2.6377,                 2.0261,              0.0012001,              0.0012001,              0.0012001
                    204,                 1.1742,                0.72652,                 1.1271,                0.44878,                0.26316,                0.24348,                0.09273,                  2.497,                 2.5628,                 2.0032,              0.0011961,              0.0011961,              0.0011961
                    205,                 1.2797,                0.70237,                 1.1653,                  0.321,                0.36842,                0.25984,                0.10972,                 2.4363,                 2.3502,                 1.9304,              0.0011922,              0.0011922,              0.0011922
                    206,                 1.1384,                0.71358,                  1.107,                0.30379,                0.32456,                0.24907,                0.09604,                 2.5313,                 2.4753,                 2.0716,              0.0011882,              0.0011882,              0.0011882
                    207,                 1.1656,                 0.7877,                 1.0916,                0.39682,                0.30587,                 0.2721,                 0.1028,                 2.5125,                 2.3865,                 2.0682,              0.0011842,              0.0011842,              0.0011842
                    208,                 1.1392,                0.69202,                 1.1889,                0.47453,                0.23684,                0.23933,                0.08035,                 2.6229,                 2.6031,                 2.0942,              0.0011803,              0.0011803,              0.0011803
                    209,                  1.324,                0.71802,                 1.1617,                0.45315,                0.24561,                0.22946,                0.08103,                 2.6524,                 2.6714,                 2.1222,              0.0011763,              0.0011763,              0.0011763
                    210,                 1.0345,                0.76614,                0.99483,                0.28418,                0.34211,                0.22214,                0.08738,                 2.5743,                 2.5699,                 1.9985,              0.0011724,              0.0011724,              0.0011724
                    211,                 1.1872,                0.70958,                 1.1849,                0.33337,                0.40351,                0.27645,                0.11094,                 2.5189,                 2.2955,                 1.9917,              0.0011684,              0.0011684,              0.0011684
                    212,                 1.1647,                 0.7488,                 1.1549,                0.34943,                0.36842,                0.27521,                0.09983,                  2.628,                 2.1515,                 2.0987,              0.0011644,              0.0011644,              0.0011644
                    213,                 1.0834,                0.67743,                 1.0845,                0.43705,                0.35416,                0.29812,                0.10572,                 2.6256,                 2.0896,                 2.0575,              0.0011605,              0.0011605,              0.0011605
                    214,                 1.1437,                0.73538,                 1.1087,                0.46564,                0.30702,                0.28822,                0.10143,                 2.6888,                 2.3142,                 2.1617,              0.0011565,              0.0011565,              0.0011565
                    215,                 1.0799,                0.63258,                 1.0766,                0.49299,                 0.2193,                0.24499,                  0.089,                 2.7088,                  2.676,                 2.1485,              0.0011526,              0.0011526,              0.0011526
                    216,                 1.1741,                 0.6813,                 1.0987,                0.41278,                 0.2775,                0.25832,                0.09383,                  2.603,                 2.6209,                 2.0365,              0.0011486,              0.0011486,              0.0011486
                    217,                 1.1349,                0.69514,                  1.123,                0.43399,                 0.2807,                0.26446,                0.08976,                 2.6207,                 2.5891,                 2.1021,              0.0011446,              0.0011446,              0.0011446
                    218,                 1.1908,                  0.686,                 1.1219,                0.32623,                0.33333,                0.27438,                0.08414,                 2.6488,                 2.6885,                 2.1504,              0.0011407,              0.0011407,              0.0011407
                    219,                 1.1679,                0.71434,                 1.1597,                0.35665,                0.29825,                 0.2675,                 0.0858,                 2.5978,                  2.702,                 2.0808,              0.0011367,              0.0011367,              0.0011367
                    220,                 1.1428,                0.72906,                  1.104,                0.42322,                0.22807,                0.25381,                0.09172,                 2.6609,                 2.6975,                  2.119,              0.0011328,              0.0011328,              0.0011328
                    221,                 1.1672,                0.65127,                 1.0841,                0.31672,                0.31579,                0.26817,                0.10361,                  2.558,                 2.4092,                  2.019,              0.0011288,              0.0011288,              0.0011288
                    222,                 1.1369,                0.67836,                 1.0968,                0.46153,                 0.2193,                0.22542,                0.09134,                 2.6261,                 2.3895,                 2.0344,              0.0011248,              0.0011248,              0.0011248
                    223,                0.97401,                0.73259,                0.98798,                0.41713,                0.29825,                0.30441,                0.10314,                 2.6089,                 2.2219,                 2.0404,              0.0011209,              0.0011209,              0.0011209
                    224,                 1.1262,                0.66501,                 1.0548,                0.34263,                0.50877,                0.31332,                0.10767,                 2.4617,                 2.0648,                 1.9402,              0.0011169,              0.0011169,              0.0011169
